"a";"b";"c";"d";"answer";"question";"subject_id"
"Prints ";"Prints ";"Prints ";"Compiler error";"C";"Predict the output:

public class Test extends Thread{
      private int i;
      public void run(){
            i++;
      }

      public static void main(String[] args){
            Test a = new Test();
            a.run();
            System.out.print(a.i);
            a.start();
            System.out.print(a.i);
      }
}

";1
"java.util package";"java.lang package";"java.io package";"java.awt package";"B";"System class is defined in .................
";1
"Only A";"Only C";"A and C";"B and D";"C";"Which of these classes defined in java.io and used for file-handling are abstract?
A. InputStream
B. PrintStream
C. Reader
D. FileInputStream
E. FileWriter
";1
"closing the stream";"flushing the stream";"writting to the stream";"writting a line separator to the stream";"D";"When comparing java.io.BufferedWriter and java.io.FileWriter, which capability exist as a method in only one of two ?
";1
"You can set different size for each recycle bin";"You can choose which recycle bin to use to store your deleted files";"You can make any one of them default recycle bin";"None of above";"A";"If there are multiple recycle bin for a hard disk";1
"You can find deleted files in recycle bin";"You can restore any files in recycle bin if you ever need";"You can increase free space of disk by sending files in recycle bin";"You can right click and choose Empty Recycle Bin to clean it at once";"C";"Identify false statement";1
"Write";"Calendar";"Write file";"Control panel";"D";"If the displayed system time and date is wrong, you can reset it using";1
"Viruses";"Time bombs";"Worms";"All of the above";"D";"You should save your computer from?";1
"Worldwide corporation";"W3C";"World Wide Consortium";"World Wide Web Standard";"B";"World Wide Web is being standard by";1
"Windows 3.1";"Windows 3.11";"Windows 95";"Windows 98";"C";"My Computer was introduced from";1
"Windows 3.1";"Windows 95";"Windows 2000";"Windows NT";"A";"Which operating system doesn't support networking between computers?";1
"Windows Vista";"Windows 7";"Windows 8";"None of above";"C";"Which of the following Windows do not have Start button";1
"Windows 2007";"Windows 7";"Windows 11";"Windows 10";"C";"Which is the latest version of MS Windows?";1
"WinZip";"WinShrink";"WinStyle";"None of above";"A";"The ...... program compresses large files into a smaller file";1
"Is relatively easy to support in software";"Causes all processor to function equally";"Works with any application";"Is quite common in modern computer";"A";"A co-processor";1
"MS DOS";"Windows 95";"Windows 98";"Windows 2000";"D";"Which of the following Operating systems is better for implementing a Client-Server network";1
"Operating system";"Graphic program";" Word Processing";"Database program";"A";"A Microsoft Windows is a(n)";1
"Windows NT";"Page Maker";"WinWord XP";"Photoshop";"A";"Which is not application software?";1
"DOS";"Linux";"Windows";"Unix";"A";"Which of the following does not support more than one program at a time?";1
"DOS";"Linux";"Windows";"Oracle";"D";"Which of the following is not an operating system?";1
"Open source";"Microsoft";"Windows";"Mac";"A";"Linux is a(n) ....... operating system";1
"Ps/2";"Dos";"Windows";"Windows NT";"B";"Which operating system can you give smallest file name?";1
"P11";"OS/2";"Windows";"Unix";"A";"Which one is not operating system?";1
"Windows";"Linux";"Win NT";"DOS";"D";"Which of the following is not a multitasking operating system?";1
"Wish list screen";"Command screen";"Welcome screen";"None of the above";"C";"The ..... displays the name of every computer user on the computer";1
"The computer is tired after working for the whole day";"You are leaving for a very short time and want to resume you work shortly";"When computer gets hanged frequently. Let it sleep for some time";"You finish working and going to bed";"B";"You should choose Sleep option when";1
"Word processing";"Computer aided design";"Web page authoring";"Desktop publishing";"A";"The category of software most appropriate for controlling the design and layout of complex document like newsletters and brochure is:";1
"Backup";"Disk defragment";"Virus scanning";"All of the above";"C";"Which one is not a system tool?
";1
"Accessories";"Paint";"Word";"All of above";"A";"Which of the following is program group?";1
"Option";"Help";"View";"None of above";"D";"Which menu bar selection would you access to open file?";1
"Expanded memory";"Cache memory";"Virtual memory";"Conventional memory";"D";"The memory which allocates space for DOS and application is called
";1
"Safe Mode";"Normal Mode";"VGA Mode";"Network Support Mode";"A";"Which mode loads minimal set of drivers when starting Windows?";1
"Virtual space";"Virtual computers";"Virtual device";"None";"B";"The operating system creates _____ from the physical computer";1
"Keyboard driver";"Mouse driver";"VGA drive";"All of above";"D";"Which of the following are loaded in safe mode?";1
"Source drive";"Destination drive";"USB drive";"None of the above";"A";"The ....... is the drive containing the files to be copied";1
"Destroys every byte of data on a disk by overwriting it with blank spaces";"Do not check/scan surface after format";"Transfer system files after format";"All of above";"A";"Which one is true for unconditional disk formatting?";1
"DOS";"Windows";"Unix";"Linux";"A";"Which one of the following is not a multitasking operating system?";1
"Windows";"Linux";"Unix";"CMOS";"C";"The most recent version of MAC OS is based on the ...... operating system";1
